model,NLVR_finetune_precision,NLVR_finetune_consistency,NLVR_zeroshot_precision,NLVR_zeroshot_consistency,model_size,ViPr,ViPr_adj,ViPr_abs,ViPr_abs_adj,ViPr+,ViPr_adj+,DV,DT,DV+,DV_adj,DV_adj+,ViPr_prime,ViPr_prime_adj,ViPr_prime+,ViPr_prime_adj+,VQA2_finetune_exact_acc,VQA2_finetune_partial_acc,VQA2_zeroshot_exact_acc,VQA2_zeroshot_partial_acc
Salesforce/blip-image-captioning-base,,,0.4575328614762386,0.0187265917602996,247414076,4.82863446343203,4.15852876305602,5.402226909660547,5.243605337888943,89.7811369830014,104.85302218554966,0.263916015625,0.153564453125,0.374755859375,-0.0078125,0.2109375,1.7186009538950715,-0.0508744038155802,2.440381558028617,1.3736089030206675,,,0.0007,0.0
Salesforce/blip-image-captioning-large,,,0.5331985170205595,0.0374531835205992,469732924,0.3790384592721767,0.34626492496624,1.0898979437537866,0.6948778095678516,40.24049380853626,47.54407599978239,0.0615234375,0.68896484375,0.386962890625,0.031982421875,0.2158203125,0.0892983699503898,0.0464209780297661,0.5616583982990787,0.3132530120481928,,,0.0007,2e-05
Salesforce/blip2-opt-2.7b,0.520896528479946,0.0,0.5441523424334345,0.0524344569288389,3744761856,0.352815047275622,0.1070896550994138,0.603135430546924,0.5700146105073263,0.3626583375028222,43.79558338280337,1.14013671875,3.37744140625,1.447265625,0.8994140625,1.27587890625,0.3375740928148041,0.2663004192569033,0.4285094694231603,0.3777649269914703,0.476239999999987,0.5825733333333108,0.265860000000005,0.5968499999999763
Salesforce/blip2-opt-2.7b-coco,0.4602291877317155,0.0037453183520599,0.4452308729356252,0.0074906367041198,3745353216,-0.0418162646419561,0.2125179123516047,0.8168845836979582,0.5681483925689691,0.387534159528001,0.3903331524602869,0.7392578125,3.3232421875,1.19775390625,0.556640625,1.064453125,0.2224507787246547,0.1674992653540993,0.3604172788715839,0.3203056126946811,0.2808766666666716,0.5428366666666482,0.1318966666666679,0.6088299999999768
Salesforce/blip2-opt-6.7b,0.5112908661948096,0.0,0.535726322885069,0.0411985018726591,7752869376,-0.5233542544109197,-0.3280392226916118,1.1294620031674207,0.6713977058991193,0.2598395886639648,0.1588220987466108,0.123291015625,2.7119140625,0.90283203125,-0.1337890625,0.63232421875,0.045462729564278,-0.0493338134677709,0.3329132157003961,0.2331652862801584,0.4160466666666599,0.5494466666666459,0.3513966666666667,0.5942866666666435
Salesforce/blip2-opt-6.7b-coco,0.5053926525109538,0.0,0.5176946410515673,0.0449438202247191,7753460736,0.0847624229869384,0.0933417763855605,0.6158395689259838,0.4620919522315022,0.3503009959564611,0.2777168643085314,1.190673828125,3.884033203125,1.534912109375,0.683837890625,1.17626953125,0.3065560374630712,0.1760638632220755,0.3951851153435162,0.3028474448425419,0.4347899999999915,0.5770466666666455,0.3091566666666698,0.6137133333333078
microsoft/git-base,,,0.5530839231547017,0.0524344569288389,176619066,-1.0132982593810111,0.4674721991733188,3.2118283649669364,1.310070537850895,54.0193321441432,133.6560042349877,-1.077392578125,0.1123046875,0.17822265625,0.0693359375,0.326416015625,-9.593478260869563,0.6173913043478261,1.5869565217391304,2.9065217391304348,,,0.0007433333333333,0.0008733333333333
microsoft/git-base-coco,,,0.5551061678463094,0.0599250936329588,176619066,-0.0916332801248729,0.3570964648920272,2.504415439077471,1.701817158984916,66.22570228801062,166.0136039017056,-0.8037109375,0.16455078125,0.189453125,0.0712890625,0.32666015625,-4.884272997032641,0.4332344213649852,1.1513353115727003,1.9851632047477743,,,0.0007,0.0002933333333333
microsoft/git-base-textcaps,,,0.553758004718571,0.0636704119850187,176619066,0.1072864970620926,0.2665303263930852,1.3870217387737185,1.0759067207334991,111.5769267778705,172.79035914856328,0.244140625,0.583251953125,0.465087890625,0.146484375,0.33203125,0.4185851820845542,0.2511511092507325,0.7974047718710757,0.5692758476349937,,,0.0007666666666666,6.666666666666667e-05
microsoft/git-large,,,0.4499494438827098,0.0149812734082397,394196026,-0.8875676694541803,-0.7688348886442936,3.779144646063589,1.1476705509002318,86.79672598715969,174.48163825737316,-0.27783203125,0.149658203125,0.2685546875,0.30712890625,0.43505859375,-1.8564437194127243,2.0522022838499185,1.7944535073409462,2.9070146818923326,,,0.0007,0.0
microsoft/git-large-coco,,,0.4499494438827098,0.0149812734082397,394196026,0.5809733020724128,-0.3077360947585194,2.324422802289288,0.837886374175454,156.58545786235848,168.70636026567746,0.54296875,0.21240234375,0.746337890625,0.36865234375,0.4716796875,2.55632183908046,1.735632183908046,3.513793103448276,2.220689655172414,,,0.0007,0.0
microsoft/git-large-textcaps,,,0.555443208628244,0.0636704119850187,394196026,-0.266105959057346,-0.5253390405834123,0.8796049754107496,0.7470806457892757,1.4995564448024985,94.83743330260292,-0.5087890625,0.285888671875,0.044921875,-0.1396484375,0.20166015625,-1.7796754910333048,-0.4884713919726729,0.157130657557643,0.7053800170794193,,,0.0007,0.0
microsoft/kosmos-2-patch14-224,,,0.553758004718571,0.0636704119850187,1664485376,0.8813663085335639,0.8940924717971953,0.9434671910764354,1.0931507228330133,0.3700780401275803,0.2416054682828461,0.9326171875,4.144775390625,1.21142578125,0.547607421875,1.083251953125,0.225010308063851,0.1321199269600047,0.2922777875949814,0.2613535960417035,,,0.00099,0.0029566666666666
