model,NLVR_zeroshot_precision,NLVR_zeroshot_consistency
microsoft/git-large-textcaps,0.555443208628244,0.0636704119850187
microsoft/kosmos-2-patch14-224,0.553758004718571,0.0636704119850187
Salesforce/blip2-opt-2.7b,0.5441523424334345,0.0524344569288389
Salesforce/blip2-opt-6.7b,0.535726322885069,0.0411985018726591
Salesforce/blip2-opt-2.7b-coco,0.4452308729356252,0.0074906367041198
Salesforce/blip2-opt-6.7b-coco,0.5176946410515673,0.0449438202247191
Salesforce/blip-image-captioning-base,0.4575328614762386,0.0187265917602996
Salesforce/blip-image-captioning-large,0.5331985170205595,0.0374531835205992
microsoft/git-base,0.5530839231547017,0.0524344569288389
microsoft/git-large,0.4499494438827098,0.0149812734082397
microsoft/git-base-coco,0.5551061678463094,0.0599250936329588
microsoft/git-large-coco,0.4499494438827098,0.0149812734082397
microsoft/git-base-textcaps,0.553758004718571,0.0636704119850187
