model,VQA2_finetune_exact_acc,VQA2_finetune_partial_acc
microsoft/git-large-textcaps,-1.0,-1.0
microsoft/kosmos-2-patch14-224,-1.0,-1.0
Salesforce/blip2-opt-2.7b,0.476239999999987,0.5825733333333108
Salesforce/blip2-opt-6.7b,0.4160466666666599,0.5494466666666459
Salesforce/blip2-opt-2.7b-coco,0.2808766666666716,0.5428366666666482
Salesforce/blip2-opt-6.7b-coco,0.4347899999999915,0.5770466666666455
Salesforce/blip-image-captioning-base,-1.0,-1.0
Salesforce/blip-image-captioning-large,-1.0,-1.0
microsoft/git-base,-1.0,-1.0
microsoft/git-large,-1.0,-1.0
microsoft/git-base-coco,-1.0,-1.0
microsoft/git-large-coco,-1.0,-1.0
microsoft/git-base-textcaps,-1.0,-1.0
