model,ViPr,ViPr_adj,ViPr_abs,ViPr_abs_adj,ViPr+,ViPr_adj+,DV,DV+,DV_adj,DV_adj+
Salesforce/blip-image-captioning-base,2.562614620707089,1.9782870646380373,3.1297242601539224,3.068630130024182,90.52427181616945,105.2229373808263,0.2632343173027038,0.374921053647995,-0.0090820789337158,0.2107376456260681
Salesforce/blip2-opt-2.7b,0.4698209431473898,-0.1262471268182861,0.7278487443736393,0.7924260084746502,0.377047582604258,54.98965463018976,1.296729326248169,1.5630323886871338,0.9803189039230348,1.3447091579437256
Salesforce/blip2-opt-2.7b-coco,-0.0262106880335351,0.2050383577453161,0.8029160204559456,0.5569734728167323,0.3883526662112052,0.3810059152810242,0.7665777802467346,1.2067075371742249,0.5785048007965088,1.0681332349777222
Salesforce/blip2-opt-6.7b,-0.9642420170184616,-0.5455927703172452,1.555678331440281,0.8623128551263936,0.2566706060522083,0.150216851370137,0.1481477916240692,0.9010286331176758,-0.1995835900306701,0.6248641908168793
Salesforce/blip2-opt-6.7b-coco,0.0371011010597314,0.0810455638674873,0.6521727064782672,0.5158230293248687,0.3446369037689993,0.298434296596178,1.1296111941337583,1.5343822538852692,0.7131734490394592,1.230619251728058
microsoft/git-base-msrvtt-qa,-0.2790826278475675,-5.175807694952138,17.022852075890135,12.537588349005066,113.34414183291516,104.49398089075036,-0.2112067937850952,0.122978001832962,0.0516362190246582,0.2110887169837951
microsoft/git-base-textcaps,0.1293787856477657,0.2834945654527951,1.394277302743577,1.087669748872582,110.74209537976908,172.2158586941042,0.2385842204093933,0.4609567523002624,0.1451336741447448,0.3318376541137695
microsoft/git-large-msrvtt-qa,-2.005340618340783,1.2512687287021511,7.51787812830699,3.1794137038566754,304.64055564036926,4.371319334102472,0.4545786678791046,0.6265894174575806,0.1338683664798736,0.2135986089706421
microsoft/git-large-textcaps,-0.3075347356248379,-0.5548149853279418,0.9440827751759208,0.780108108757262,0.0329884179574659,92.83229086980486,-0.5252973735332489,0.0414960980415344,-0.1471756994724273,0.1990746259689331
microsoft/kosmos-2-patch14-224,0.7123242513782642,0.6140274290221271,0.7796964796569399,0.7356707751596547,0.4419380842933548,0.2512111411920373,1.0489688515663147,1.343689262866974,0.6525550782680511,1.116738587617874
Salesforce/blip-image-captioning-large,0.3764842433114994,0.3392075984111193,1.10151349919695,0.6927175510758459,39.64588158776538,47.25389858788761,0.0616347193717956,0.3861129283905029,0.0321826636791229,0.215719848871231
google/paligemma-3b-ft-ocrvqa-224,-0.3783122213813624,2.71830496986029,7.219875756471922,2.720037859333994,21.14082915497421,1.4765586265614328,-0.7844396829605103,0.0710150897502899,-0.0291950404644012,0.231995016336441
google/paligemma-3b-ft-ocrvqa-448,11.07982288463784,-4.848776567065186,12.000313114976604,8.250408803210162,17.83509190270763,40.331297565271775,-0.6313642859458923,0.1051249206066131,0.0125324130058288,0.3568977117538452
google/paligemma-3b-mix-224,-2.073396860653804,-0.7117156596035875,3.038356584288802,2.2530726222356403,27.11017408575774,288.1389987709341,-0.4577367603778839,0.1355379819869995,0.4561928808689117,0.7436512112617493
google/paligemma-3b-mix-448,-1.624894728969649,0.2240196650646605,3.21059972525698,0.8290698234591615,0.1461747666443233,239.80297654615737,-1.6007991433143616,0.0872188210487365,0.1295409500598907,0.5614969432353973
google/paligemma-3b-pt-224,3.6237095580293337,1.414996372969411,8.534553069176901,1.8913730222784677,67.38059141736716,0.7847212307152032,-0.9810234010219574,0.1438780725002288,-0.024031639099121,0.2631175816059112
google/paligemma-3b-pt-448,2.079382613177629,-1.1359392389682694,4.222389093609371,2.832254116259993,11.103449258216948,94.89174115195512,-0.8322083652019501,0.0223740935325622,0.1912813782691955,0.3504627645015716
microsoft/git-base,-0.990316920295845,0.4671930818981289,3.1992572984086443,1.309415465759595,53.775224774219865,132.92479059167056,-1.076448231935501,0.1782509386539459,0.0669090747833252,0.3241292238235473
microsoft/git-base-coco,-0.0737274906894543,0.3269882762540617,2.5070223918140475,1.7087245918158265,67.07788621233719,166.84319041154131,-0.7985516786575317,0.1910823285579681,0.0713902115821838,0.3278307020664215
microsoft/git-large,-0.7954790647507239,-0.7529602380038956,3.666746920092025,1.1323186615625878,85.71866297410344,176.1085462171338,-0.2784419655799866,0.2674108743667602,0.3095684647560119,0.4377831816673279
microsoft/git-large-coco,0.5997433374656094,-0.3047145109273856,2.3029262083284547,0.8315128848176306,157.47084286078143,169.55466176921084,0.5372248291969299,0.7448925375938416,0.3649523258209228,0.4694947004318237
